Period,Strategy,CAGR,Sharpe,Sortino,Max DD,Calmar,Hit rate
Train (walk-forward 2010-2024),Cesar XGBoost,0.07049982624207862,0.7510369053686553,1.1292984569540379,-0.18031890129393857,0.39097302465899886,0.5474934036939314
Train (walk-forward 2010-2024),EW 25x4,0.051646738028155115,0.7600667240627308,1.1497709077393232,-0.1520591575378224,0.3396489817807177,0.5527704485488126
Train (walk-forward 2010-2024),60/40,0.06875089321346528,0.6835838346225387,1.0014919477831468,-0.21982861710343682,0.3127476946330225,0.579155672823219
Train (walk-forward 2010-2024),ACWI BH,0.0939673201919804,0.6191716620717812,0.894117961908515,-0.32084982332155476,0.29287010109339107,0.5738786279683378
Test 2025,Cesar XGBoost,0.3069945770927922,2.8658681688863497,4.961724595156746,-0.04823089385187329,6.365102376821667,0.7
Test 2025,EW 25x4,0.24574912977416719,3.7169596948909787,7.813894527065125,-0.021658091654733647,11.346758232064996,0.74
Test 2025,60/40,0.17146438929842978,1.7002748877668166,2.65975194959089,-0.07794042280448399,2.1999417391993576,0.6
Test 2025,ACWI BH,0.23234626550346138,1.372361202645595,2.033635083794799,-0.14253360379112712,1.6301157013047136,0.6
YTD 2026,Cesar XGBoost,0.1999367606821847,,,-0.08365966528086721,2.3898823884956397,0.6
YTD 2026,EW 25x4,0.12264075268969998,,,-0.06704446153602739,1.8292450991465874,0.6
YTD 2026,60/40,0.19274409189956665,,,-0.06263067596280392,3.0774710465209814,0.7
YTD 2026,ACWI BH,0.3239572541422897,,,-0.08859988754614945,3.65640705778039,0.6
