max_depth,n_estimators,learning_rate,floor,sharpe_net,cagr_net
2,200,0.03,0.1,0.6932206077346975,0.06472924756351706
2,200,0.05,0.1,0.6916571149829328,0.06475379915533463
2,200,0.03,0.05,0.6856054587914479,0.06589282626418957
2,200,0.03,0.0,0.6847859185144829,0.0661862363476069
2,200,0.05,0.05,0.6794087857196259,0.06571800862531174
2,200,0.1,0.1,0.679302232636196,0.06407908300635379
3,200,0.03,0.1,0.6773833510330509,0.06397820197554682
2,200,0.05,0.0,0.6759663175897842,0.06600112551134418
4,200,0.03,0.1,0.67413514583317,0.06431962300554073
3,200,0.05,0.1,0.6713223859877367,0.06430143897232554
4,200,0.05,0.1,0.6654133986875385,0.06441418541767252
3,200,0.03,0.05,0.6619090996995295,0.06452333985965364
4,200,0.03,0.05,0.6594376656078162,0.06508074511447326
3,200,0.03,0.0,0.659359145045836,0.06478430039351846
2,200,0.1,0.05,0.6588967823509704,0.06462413242436194
4,200,0.03,0.0,0.6572423954075262,0.06550229693492682
3,200,0.05,0.05,0.6526453819261047,0.06472899089976725
2,200,0.1,0.0,0.6497465082271643,0.06476149395891939
3,200,0.05,0.0,0.6470816506057373,0.06498049000934247
4,200,0.05,0.05,0.6465261739242522,0.06503630229988233
3,200,0.1,0.1,0.6451602336721047,0.06247657949142815
4,200,0.05,0.0,0.6394974206397324,0.06527763221631
3,200,0.1,0.05,0.6304248633384865,0.06353175608504813
4,200,0.1,0.1,0.627696341092416,0.06122080569391675
3,200,0.1,0.0,0.6204984177231128,0.06386208678355954
4,200,0.1,0.05,0.6073463599708603,0.061957037356884515
4,200,0.1,0.0,0.5958194691686037,0.062307278363034735
