Date,ACWI,AGG,GLD,BSV
2025-01-03,45.98,14.8,29.43,9.79
2025-01-10,44.61,15.87,29.57,9.95
2025-01-17,38.17,20.64,31.3,9.89
2025-01-24,30.08,16.74,42.69,10.49
2025-01-31,37.78,17.81,34.0,10.41
2025-02-07,41.93,13.85,33.7,10.52
2025-02-14,31.79,17.68,40.62,9.91
2025-02-21,20.65,16.35,53.1,9.9
2025-02-28,33.08,15.13,41.84,9.95
2025-03-07,37.19,21.03,31.91,9.87
2025-03-14,38.43,21.3,30.39,9.88
2025-03-21,45.55,14.92,29.63,9.9
2025-03-28,48.75,13.38,28.01,9.86
2025-04-04,48.16,13.44,28.56,9.84
2025-04-11,38.16,19.57,32.29,9.98
2025-04-25,47.91,12.96,29.31,9.82
2025-05-02,37.87,20.92,31.32,9.89
2025-05-09,29.38,22.07,36.47,12.08
2025-05-16,33.8,15.33,40.96,9.91
2025-05-23,23.56,19.36,44.73,12.35
2025-05-30,26.86,17.97,42.9,12.27
2025-06-06,32.89,21.32,34.91,10.88
2025-06-13,31.33,15.18,43.24,10.25
2025-06-20,38.49,12.27,33.68,15.56
2025-06-27,34.65,21.52,32.9,10.93
2025-07-11,30.64,21.16,36.4,11.8
2025-07-18,23.99,17.72,47.33,10.96
2025-07-25,32.62,21.24,34.85,11.29
2025-08-01,33.43,21.65,34.93,9.99
2025-08-08,28.69,13.91,40.33,17.07
2025-08-15,23.68,17.46,48.38,10.48
2025-08-22,31.08,14.67,38.69,15.56
2025-08-29,24.77,15.07,50.18,9.98
2025-09-05,35.82,16.38,37.71,10.09
2025-09-12,23.71,17.37,48.43,10.49
2025-09-19,32.11,15.94,41.93,10.02
2025-09-26,33.88,19.62,35.06,11.44
2025-10-03,32.16,22.02,34.37,11.45
2025-10-10,34.46,20.51,33.4,11.63
2025-10-17,34.03,18.97,35.63,11.37
2025-10-24,31.23,19.01,38.28,11.48
2025-10-31,35.03,13.87,30.94,20.16
2025-11-07,30.29,16.05,41.24,12.42
2025-11-14,34.03,18.41,37.13,10.43
2025-11-21,33.73,19.66,35.92,10.69
2025-11-28,32.99,19.74,35.92,11.35
2025-12-05,35.94,11.97,31.21,20.88
2025-12-12,37.25,12.69,29.8,20.26
2025-12-19,40.53,10.48,26.06,22.93
2025-12-26,29.57,12.82,36.2,21.41
