Date,ACWI,AGG,GLD,BSV
2026-01-02,34.44,19.64,35.14,10.78
2026-01-09,28.82,19.6,31.42,20.16
2026-01-16,21.07,17.8,43.9,17.23
2026-01-23,26.22,17.81,45.43,10.54
2026-01-30,33.37,20.01,35.03,11.59
2026-02-06,35.14,18.91,34.41,11.54
2026-02-13,40.44,17.42,32.09,10.05
2026-02-20,34.27,19.07,35.13,11.53
2026-02-27,46.75,15.11,28.17,9.97
2026-03-06,36.8,24.07,29.23,9.9
2026-03-13,48.95,14.76,26.61,9.68
2026-03-20,47.92,13.04,27.59,11.45
2026-03-27,46.66,17.9,25.61,9.83
2026-04-10,37.16,22.45,30.61,9.78
2026-04-17,36.43,18.43,35.17,9.97
2026-04-24,25.03,17.35,39.56,18.06
2026-05-01,28.66,16.69,40.51,14.14
2026-05-08,26.25,16.67,33.69,23.39
2026-05-15,32.97,20.52,35.6,10.91
2026-05-22,33.85,20.84,34.66,10.65
2026-05-29,31.41,19.27,28.22,21.1
2026-06-05,35.19,19.83,34.68,10.3
2026-06-12,33.26,19.91,35.3,11.53
