date,sum_weights,min_weight,max_weight,turnover,turnover_cap_pass,fully_invested_pass,long_only_pass,no_leverage_pass,period
2008-03-28,1.0,0.1875,0.3625,0.0,True,True,True,True,train
2008-04-04,1.0,0.125,0.475,0.25,True,True,True,True,train
2008-04-11,1.0,0.062499999999999986,0.5875,0.2500000000000001,True,True,True,True,train
2008-04-18,1.0,0.0,0.7,0.24999999999999986,True,True,True,True,train
2008-04-25,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-05-02,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-05-09,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-05-16,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-05-23,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-05-30,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-06-06,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-06-13,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-06-20,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-06-27,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-07-03,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-07-11,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-07-18,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-07-25,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-08-01,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-08-08,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-08-15,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-08-22,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-08-29,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-09-05,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-09-12,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-09-19,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-09-26,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-10-03,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-10-10,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-10-17,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-10-24,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-10-31,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-11-07,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-11-14,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-11-21,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-11-28,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-12-05,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-12-12,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-12-19,1.0,0.0,0.7,0.0,True,True,True,True,train
2008-12-26,1.0,0.0,0.7,0.0,True,True,True,True,train
2009-01-02,1.0,0.0,0.7,0.0,True,True,True,True,train
2009-01-09,1.0,0.0,0.7,0.0,True,True,True,True,train
2009-01-16,1.0,0.0,0.7,0.0,True,True,True,True,train
2009-01-23,1.0,0.0,0.7,0.0,True,True,True,True,train
2009-01-30,1.0,0.0,0.7,0.0,True,True,True,True,train
2009-02-06,1.0,0.0,0.7,0.0,True,True,True,True,train
2009-02-13,1.0,0.0,0.7,0.0,True,True,True,True,train
2009-02-20,1.0,0.0,0.7,0.0,True,True,True,True,train
2009-02-27,1.0,0.0,0.7,0.0,True,True,True,True,train
2009-03-06,1.0,0.0,0.7,0.0,True,True,True,True,train
2009-03-13,1.0,0.0,0.7,0.0,True,True,True,True,train
2009-03-20,1.0,0.0,0.7,0.0,True,True,True,True,train
2009-03-27,1.0,0.0,0.5968749999999999,0.25,True,True,True,True,train
2009-04-03,1.0,0.0,0.47187500000000004,0.24999999999999994,True,True,True,True,train
2009-04-09,1.0,0.0,0.5326594476455395,0.25,True,True,True,True,train
2009-04-17,1.0,0.0,0.4552754606012397,0.25,True,True,True,True,train
2009-04-24,1.0,0.0,0.44444444444444453,0.03499114148316876,True,True,True,True,train
2009-05-01,1.0,0.0,0.44444444444444453,0.0,True,True,True,True,train
2009-05-08,1.0,0.09999999999999999,0.39999999999999997,0.2000000000000002,True,True,True,True,train
2009-05-15,1.0,0.09999999999999999,0.39999999999999997,0.19999999999999996,True,True,True,True,train
2009-05-22,1.0,0.09999999999999999,0.39999999999999997,0.19999999999999996,True,True,True,True,train
