,ACWI,AGG,GLD,BSV
2008-03-28,0.1875,0.2625,0.1875,0.3625
2008-04-04,0.125,0.275,0.125,0.475
2008-04-11,0.062499999999999986,0.28750000000000003,0.062499999999999986,0.5875
2008-04-18,0.0,0.3,0.0,0.7
2008-04-25,0.0,0.3,0.0,0.7
2008-05-02,0.0,0.3,0.0,0.7
2008-05-09,0.0,0.3,0.0,0.7
2008-05-16,0.0,0.3,0.0,0.7
2008-05-23,0.0,0.3,0.0,0.7
2008-05-30,0.0,0.3,0.0,0.7
2008-06-06,0.0,0.3,0.0,0.7
2008-06-13,0.0,0.3,0.0,0.7
2008-06-20,0.0,0.3,0.0,0.7
2008-06-27,0.0,0.3,0.0,0.7
2008-07-03,0.0,0.3,0.0,0.7
2008-07-11,0.0,0.3,0.0,0.7
2008-07-18,0.0,0.3,0.0,0.7
2008-07-25,0.0,0.3,0.0,0.7
2008-08-01,0.0,0.3,0.0,0.7
2008-08-08,0.0,0.3,0.0,0.7
2008-08-15,0.0,0.3,0.0,0.7
2008-08-22,0.0,0.3,0.0,0.7
2008-08-29,0.0,0.3,0.0,0.7
2008-09-05,0.0,0.3,0.0,0.7
2008-09-12,0.0,0.3,0.0,0.7
2008-09-19,0.0,0.3,0.0,0.7
2008-09-26,0.0,0.3,0.0,0.7
2008-10-03,0.0,0.3,0.0,0.7
2008-10-10,0.0,0.3,0.0,0.7
2008-10-17,0.0,0.3,0.0,0.7
2008-10-24,0.0,0.3,0.0,0.7
2008-10-31,0.0,0.3,0.0,0.7
2008-11-07,0.0,0.3,0.0,0.7
2008-11-14,0.0,0.3,0.0,0.7
2008-11-21,0.0,0.3,0.0,0.7
2008-11-28,0.0,0.3,0.0,0.7
2008-12-05,0.0,0.3,0.0,0.7
2008-12-12,0.0,0.3,0.0,0.7
2008-12-19,0.0,0.3,0.0,0.7
2008-12-26,0.0,0.3,0.0,0.7
2009-01-02,0.0,0.3,0.0,0.7
2009-01-09,0.0,0.3,0.0,0.7
2009-01-16,0.0,0.3,0.0,0.7
2009-01-23,0.0,0.3,0.0,0.7
2009-01-30,0.0,0.3,0.0,0.7
2009-02-06,0.0,0.3,0.0,0.7
2009-02-13,0.0,0.3,0.0,0.7
2009-02-20,0.0,0.3,0.0,0.7
2009-02-27,0.0,0.3,0.0,0.7
2009-03-06,0.0,0.3,0.0,0.7
2009-03-13,0.0,0.3,0.0,0.7
2009-03-20,0.0,0.3,0.0,0.7
2009-03-27,0.0,0.278125,0.12500000000000003,0.5968749999999999
2009-04-03,0.0,0.3233983485193622,0.20472665148063787,0.47187500000000004
2009-04-09,0.0,0.38761390087382275,0.07972665148063784,0.5326594476455395
2009-04-17,0.0,0.3399978879181226,0.20472665148063787,0.4552754606012397
2009-04-24,0.0,0.33333333333333337,0.22222222222222227,0.44444444444444453
2009-05-01,0.0,0.33333333333333337,0.22222222222222227,0.44444444444444453
2009-05-08,0.09999999999999999,0.3,0.19999999999999998,0.39999999999999997
2009-05-15,0.09999999999999999,0.39999999999999997,0.19999999999999998,0.3
2009-05-22,0.09999999999999999,0.3,0.19999999999999998,0.39999999999999997
2009-05-29,0.09999999999999999,0.3,0.19999999999999998,0.39999999999999997
2009-06-05,0.19375,0.2375,0.23125,0.33749999999999997
2009-06-12,0.31875,0.15416666666666665,0.21231060606060606,0.31477272727272726
2009-06-19,0.30086705202312136,0.1978805394990366,0.10519355403748465,0.3960588544403573
2009-06-26,0.3,0.19999999999999998,0.09999999999999999,0.39999999999999997
2009-07-02,0.17500000000000002,0.2625,0.1625,0.4000000000000001
2009-07-10,0.05000000000000003,0.31309523809523804,0.20515873015873012,0.4317460317460317
2009-07-17,0.09315068493150686,0.21549249836921067,0.28700804522722334,0.4043487714720591
2009-07-24,0.16294785554681282,0.27069532775390476,0.16484879291201399,0.4015080237872685
2009-07-31,0.19999999999999998,0.3,0.09999999999999999,0.39999999999999997
2009-08-07,0.3,0.19999999999999998,0.09999999999999999,0.39999999999999997
2009-08-14,0.4000000000000001,0.20000000000000004,0.10000000000000002,0.30000000000000004
2009-08-21,0.4000000000000001,0.20000000000000004,0.10000000000000002,0.30000000000000004
2009-08-28,0.4000000000000001,0.20000000000000004,0.10000000000000002,0.30000000000000004
2009-09-04,0.3,0.19999999999999998,0.09999999999999999,0.39999999999999997
2009-09-11,0.23750000000000002,0.32500000000000007,0.1,0.3375
2009-09-18,0.3625,0.30576923076923085,0.1,0.23173076923076927
2009-09-25,0.2375,0.3782544378698226,0.10000000000000002,0.2842455621301776
2009-10-02,0.20000000000000004,0.4000000000000001,0.10000000000000002,0.30000000000000004
2009-10-09,0.325,0.3375000000000001,0.1,0.23750000000000004
2009-10-16,0.22884615384615387,0.30865384615384617,0.09999999999999999,0.36249999999999993
2009-10-23,0.14467529957479705,0.36832721298801707,0.16532663316582916,0.3216708542713568
2009-10-30,0.09999999999999999,0.3,0.19999999999999998,0.39999999999999997
