,ACWI,AGG,GLD,BSV
2008-03-28,0.1875,0.2625,0.1875,0.3625
2008-04-04,0.125,0.275,0.125,0.475
2008-04-11,0.062499999999999986,0.28750000000000003,0.062499999999999986,0.5875
2008-04-18,0.0,0.3,0.0,0.7
2008-04-25,0.0,0.3,0.0,0.7
2008-05-02,0.0,0.3,0.0,0.7
2008-05-09,0.0,0.3,0.0,0.7
2008-05-16,0.0,0.3,0.0,0.7
2008-05-23,0.0,0.3,0.0,0.7
2008-05-30,0.0,0.3,0.0,0.7
2008-06-06,0.0,0.3,0.0,0.7
2008-06-13,0.0,0.3,0.0,0.7
2008-06-20,0.0,0.3,0.0,0.7
2008-06-27,0.0,0.3,0.0,0.7
2008-07-03,0.0,0.3,0.0,0.7
2008-07-11,0.0,0.3,0.0,0.7
2008-07-18,0.0,0.3,0.0,0.7
2008-07-25,0.0,0.3,0.0,0.7
2008-08-01,0.0,0.3,0.0,0.7
2008-08-08,0.0,0.3,0.0,0.7
2008-08-15,0.0,0.3,0.0,0.7
2008-08-22,0.0,0.3,0.0,0.7
2008-08-29,0.0,0.3,0.0,0.7
2008-09-05,0.0,0.3,0.0,0.7
2008-09-12,0.0,0.3,0.0,0.7
2008-09-19,0.0,0.3,0.0,0.7
2008-09-26,0.0,0.3,0.0,0.7
2008-10-03,0.0,0.3,0.0,0.7
2008-10-10,0.0,0.3,0.0,0.7
2008-10-17,0.0,0.3,0.0,0.7
2008-10-24,0.0,0.3,0.0,0.7
2008-10-31,0.0,0.3,0.0,0.7
2008-11-07,0.0,0.3,0.0,0.7
2008-11-14,0.0,0.3,0.0,0.7
2008-11-21,0.0,0.3,0.0,0.7
2008-11-28,0.0,0.3,0.0,0.7
2008-12-05,0.0,0.3,0.0,0.7
2008-12-12,0.0,0.3,0.0,0.7
2008-12-19,0.0,0.3,0.0,0.7
2008-12-26,0.0,0.3,0.0,0.7
2009-01-02,0.0,0.3,0.0,0.7
2009-01-09,0.0,0.3,0.0,0.7
2009-01-16,0.0,0.3,0.0,0.7
2009-01-23,0.0,0.3,0.0,0.7
2009-01-30,0.0,0.3,0.0,0.7
2009-02-06,0.0,0.3,0.0,0.7
2009-02-13,0.0,0.3,0.0,0.7
2009-02-20,0.0,0.3,0.0,0.7
2009-02-27,0.0,0.3,0.0,0.7
2009-03-06,0.0,0.3,0.0,0.7
2009-03-13,0.0,0.3,0.0,0.7
2009-03-20,0.0,0.3,0.0,0.7
2009-03-27,0.0,0.278125,0.12500000000000003,0.5968749999999999
2009-04-03,0.0,0.24458333333333335,0.2500000000000001,0.5054166666666666
2009-04-09,0.0,0.33657738095238093,0.1250000000000001,0.538422619047619
2009-04-17,0.0,0.33333333333333337,0.22222222222222227,0.44444444444444453
2009-04-24,0.0,0.33333333333333337,0.22222222222222227,0.44444444444444453
2009-05-01,0.0,0.33333333333333337,0.22222222222222227,0.44444444444444453
2009-05-08,0.075,0.38333333333333336,0.20555555555555557,0.3361111111111112
2009-05-15,0.09795918367346935,0.39863945578231286,0.29229024943310655,0.2111111111111111
2009-05-22,0.1642917308432807,0.3995238897445771,0.16729024943310666,0.2688941299790356
2009-05-29,0.20000000000000004,0.4000000000000001,0.10000000000000002,0.30000000000000004
2009-06-05,0.26249999999999996,0.30625,0.1625,0.26875
2009-06-12,0.3875,0.30056818181818185,0.10568181818181818,0.20625000000000002
2009-06-19,0.26653225806451614,0.30020161290322583,0.10201612903225805,0.33124999999999993
2009-06-26,0.20000000000000004,0.4000000000000001,0.10000000000000002,0.30000000000000004
2009-07-02,0.09999999999999999,0.39999999999999997,0.19999999999999998,0.3
2009-07-10,0.0,0.44444444444444453,0.22222222222222227,0.33333333333333337
2009-07-17,0.09999999999999999,0.39999999999999997,0.19999999999999998,0.3
2009-07-24,0.16249999999999998,0.33749999999999997,0.13749999999999998,0.3625
2009-07-31,0.20000000000000004,0.4000000000000001,0.10000000000000002,0.30000000000000004
2009-08-07,0.20000000000000004,0.4000000000000001,0.10000000000000002,0.30000000000000004
2009-08-14,0.19999999999999998,0.3,0.09999999999999999,0.39999999999999997
2009-08-21,0.3,0.19999999999999998,0.09999999999999999,0.39999999999999997
2009-08-28,0.19999999999999998,0.3,0.09999999999999999,0.39999999999999997
2009-09-04,0.19999999999999998,0.3,0.09999999999999999,0.39999999999999997
2009-09-11,0.09999999999999999,0.3,0.19999999999999998,0.39999999999999997
2009-09-18,0.22499999999999998,0.2375,0.13749999999999998,0.39999999999999997
2009-09-25,0.19999999999999998,0.3,0.09999999999999999,0.39999999999999997
2009-10-02,0.09999999999999999,0.3,0.19999999999999998,0.39999999999999997
2009-10-09,0.225,0.30000000000000004,0.15833333333333335,0.3166666666666667
2009-10-16,0.28421052631578947,0.22105263157894736,0.11228070175438595,0.38245614035087716
2009-10-23,0.24762516046213093,0.16846116816431322,0.23728070175438595,0.34663296961916984
2009-10-30,0.12262516046213096,0.19516633120779153,0.290387585812357,0.39182092251772066
